"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","weather_temperature","weather_wind_mph","weather_humidity","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","ErrMag","scoretotal","OUError"
"10/12/1980",1980,6,"KC","TEN","Arrowhead Stadium","TEN",36,"",50,6,"44",21,20,FALSE,FALSE,"19801012TENKC",0,-1,4,-5,5,41,5
"10/12/1980",1980,6,"MIN","CHI","Metropolitan Stadium","MIN",38,"",38,7,"62",13,7,FALSE,FALSE,"19801012CHIMIN",1,6,3,3,3,20,-18
"10/12/1980",1980,6,"NE","MIA","Foxboro Stadium","NE",43,"",58,14,"71",34,0,FALSE,FALSE,"19801012MIANE",1,34,7,27,27,34,-9
"10/12/1980",1980,6,"NYG","PHI","Giants Stadium","PHI",41,"",57,16,"61",16,31,FALSE,FALSE,"19801012PHINYG",0,15,8,7,7,47,6
"10/12/1980",1980,6,"OAK","LAC","Oakland Coliseum","LAC",45,"",62,8,"78",38,24,FALSE,FALSE,"19801012LACOAK",0,-14,6,-20,20,62,17
"10/12/1980",1980,6,"PIT","CIN","Three Rivers Stadium","PIT",40,"",44,13,"71",16,17,FALSE,FALSE,"19801012CINPIT",1,-1,13,-14,14,33,-7
"10/12/1980",1980,6,"SEA","CLE","Seattle Kingdome","SEA",40,"DOME",72,0,"",3,27,FALSE,FALSE,"19801012CLESEA",1,-24,4,-28,28,30,-10
"10/12/1980",1980,6,"ARI","LAR","Busch Memorial Stadium","LAR",49,"",49,10,"54",13,21,FALSE,FALSE,"19801012LARARI",0,8,3,5,5,34,-15
"10/12/1980",1980,6,"TB","GB","Houlihan's Stadium","TB",36,"",73,7,"66",14,14,FALSE,FALSE,"19801012GBTB",1,0,8,-8,8,28,-8
"10/13/1980",1980,6,"DEN","WAS","Mile High Stadium","DEN",35,"",61,10,"33",20,17,FALSE,FALSE,"19801013WASDEN",1,3,6,-3,3,37,2
"10/19/1980",1980,7,"IND","NE","Memorial Stadium (Baltimore)","IND",43,"",62,7,"72",21,37,FALSE,FALSE,"19801019NEIND",1,-16,3,-19,19,58,15
"10/19/1980",1980,7,"CHI","DET","Soldier Field","DET",40,"",47,13,"58",24,7,FALSE,FALSE,"19801019DETCHI",0,-17,3,-20,20,31,-9
"10/19/1980",1980,7,"CIN","MIN","Cinergy Field","CIN",36,"",49,10,"74",14,0,FALSE,FALSE,"19801019MINCIN",1,14,4,10,10,14,-22
"10/19/1980",1980,7,"CLE","GB","Cleveland Municipal Stadium","CLE",37,"",46,12,"66",26,21,FALSE,FALSE,"19801019GBCLE",1,5,9,-4,4,47,10
"10/19/1980",1980,7,"DEN","KC","Mile High Stadium","DEN",40,"",49,8,"34",17,23,FALSE,FALSE,"19801019KCDEN",1,-6,4,-10,10,40,0
"10/19/1980",1980,7,"TEN","TB","Houston Astrodome","TEN",34,"DOME",72,0,"",20,14,FALSE,FALSE,"19801019TBTEN",1,6,9,-3,3,34,0
"10/19/1980",1980,7,"MIA","BUF","Orange Bowl","BUF",35,"",80,8,"72",17,14,FALSE,FALSE,"19801019BUFMIA",0,-3,2,-5,5,31,-4
"10/19/1980",1980,7,"NO","ATL","Louisiana Superdome","ATL",44,"DOME",72,0,"",14,41,FALSE,FALSE,"19801019ATLNO",0,27,3,24,24,55,11
"10/19/1980",1980,7,"NYJ","SEA","Giants Stadium","NYJ",38,"",62,14,"70",17,27,FALSE,FALSE,"19801019SEANYJ",1,-10,2,-12,12,44,6
"10/19/1980",1980,7,"PHI","DAL","Veterans Stadium","PHI",41,"",61,9,"76",17,10,FALSE,FALSE,"19801019DALPHI",1,7,3,4,4,27,-14
"10/19/1980",1980,7,"LAC","NYG","Qualcomm Stadium","LAC",47,"",67,9,"44",44,7,FALSE,FALSE,"19801019NYGLAC",1,37,15,22,22,51,4
"10/19/1980",1980,7,"SF","LAR","Candlestick Park","LAR",50,"",55,11,"76",17,31,FALSE,FALSE,"19801019LARSF",0,14,9,5,5,48,-2
