"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","whocovered","scoretotal","OUError","which_hit"
"10/18/2001",2001,6,"JAX","BUF","EverBank Field","JAX",38.5,"",10,13,FALSE,FALSE,"20011018BUFJAX",1,-3,9,-12,"Underdog",23,-15.5,"Under"
"10/21/2001",2001,6,"ARI","KC","University of Phoenix Stadium","KC",41,"",24,16,FALSE,FALSE,"20011021KCARI",0,-8,2,-10,"Underdog",40,-1,"Under"
"10/21/2001",2001,6,"CIN","CHI","Paul Brown Stadium","CIN",36,"",0,24,FALSE,FALSE,"20011021CHICIN",1,-24,1,-25,"Underdog",24,-12,"Under"
"10/21/2001",2001,6,"CLE","BAL","FirstEnergy Stadium","BAL",33,"",24,14,FALSE,FALSE,"20011021BALCLE",0,-10,7.5,-17.5,"Underdog",38,5,"Over"
"10/21/2001",2001,6,"DET","TEN","Pontiac Silverdome","TEN",38.5,"DOME",24,27,FALSE,FALSE,"20011021TENDET",0,3,5.5,-2.5,"Underdog",51,12.5,"Over"
"10/21/2001",2001,6,"IND","NE","RCA Dome","IND",48,"DOME",17,38,FALSE,FALSE,"20011021NEIND",1,-21,10.5,-31.5,"Underdog",55,7,"Over"
"10/21/2001",2001,6,"MIN","GB","Hubert H. Humphrey Metrodome","GB",47.5,"DOME",35,13,FALSE,FALSE,"20011021GBMIN",0,-22,3,-25,"Underdog",48,0.5,"Over"
"10/21/2001",2001,6,"NO","ATL","Louisiana Superdome","NO",42,"DOME",13,20,FALSE,FALSE,"20011021ATLNO",1,-7,8,-15,"Underdog",33,-9,"Under"
"10/21/2001",2001,6,"NYJ","LAR","Giants Stadium","LAR",46.5,"",14,34,FALSE,FALSE,"20011021LARNYJ",0,20,7,13,"Favorite",48,1.5,"Over"
"10/21/2001",2001,6,"LAC","DEN","Qualcomm Stadium","DEN",43.5,"",27,10,FALSE,FALSE,"20011021DENLAC",0,-17,2.5,-19.5,"Underdog",37,-6.5,"Under"
"10/21/2001",2001,6,"TB","PIT","Raymond James Stadium","TB",33.5,"",10,17,FALSE,FALSE,"20011021PITTB",1,-7,5,-12,"Underdog",27,-6.5,"Under"
